ID,Severity,Start_Time,End_Time,Distance(mi),Start_Lat,Start_Lng,City,County,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
A-267723,2,2017-01-02 14:13:41,2017-01-02 15:28:25,0.01,29.769491,-95.5755,Houston,Harris,73.0,53.0,10.0,11.5,0.0,Clear
A-267724,2,2017-01-02 14:37:46,2017-01-02 15:37:29,0.01,29.722227,-95.510803,Houston,Harris,75.2,44.0,10.0,3.5,0.0,Clear
A-267725,2,2017-01-02 14:04:56,2017-01-02 15:05:00,0.01,29.689095,-95.479378,Houston,Harris,73.4,47.0,10.0,5.8,0.0,Clear
A-267726,2,2017-01-02 14:46:51,2017-01-02 15:44:30,0.01,29.810663,-95.459076,Houston,Harris,75.2,44.0,10.0,8.1,0.0,Clear
A-267727,2,2017-01-02 14:23:09,2017-01-02 15:25:00,0.0,29.751793,-95.372856,Houston,Harris,75.2,41.0,10.0,5.8,0.0,Clear
A-267728,2,2017-01-02 14:49:18,2017-01-02 15:49:01,0.01,29.75419,-95.365852,Houston,Harris,75.2,44.0,10.0,8.1,0.0,Clear
A-267734,2,2017-01-02 15:06:48,2017-01-02 16:00:00,0.01,29.855974,-95.400635,Houston,Harris,73.0,49.0,10.0,6.9,0.0,Partly Cloudy
A-267736,2,2017-01-02 15:48:16,2017-01-02 16:47:54,0.0,29.790735,-95.553696,Houston,Harris,75.2,41.0,10.0,0.0,0.0,Clear
A-267739,2,2017-01-02 15:55:07,2017-01-02 16:54:56,0.01,29.728619,-95.412827,Houston,Harris,75.2,41.0,10.0,0.0,0.0,Clear
A-267743,3,2017-01-02 16:50:01,2017-01-02 17:49:15,0.01,29.77379,-95.247452,Houston,Harris,73.0,44.0,10.0,8.1,0.0,Partly Cloudy
A-267744,2,2017-01-02 16:52:52,2017-01-02 17:52:38,0.01,29.727736,-95.571655,Houston,Harris,73.4,41.0,10.0,6.9,0.0,Clear
A-267747,2,2017-01-02 17:08:08,2017-01-02 17:37:58,0.01,29.720501,-95.571518,Houston,Harris,71.6,43.0,10.0,6.9,0.0,Clear
A-267748,2,2017-01-02 17:09:34,2017-01-02 17:39:19,0.01,29.78413,-95.521187,Houston,Harris,71.6,43.0,10.0,6.9,0.0,Clear
A-267749,2,2017-01-02 17:09:07,2017-01-02 17:38:57,0.01,29.821590000000004,-95.459427,Houston,Harris,71.6,43.0,10.0,6.9,0.0,Clear
A-267750,2,2017-01-02 17:08:46,2017-01-02 17:38:32,0.0,29.98628,-95.342949,Houston,Harris,72.0,49.0,10.0,5.8,0.0,Partly Cloudy
A-267751,3,2017-01-02 17:09:28,2017-01-02 17:54:28,0.01,29.773663,-95.240334,Houston,Harris,73.0,44.0,10.0,8.1,0.0,Partly Cloudy
A-267755,2,2017-01-02 17:22:59,2017-01-02 17:52:48,0.01,29.747583,-95.538422,Houston,Harris,71.6,43.0,10.0,6.9,0.0,Clear
A-267757,2,2017-01-02 17:23:35,2017-01-02 17:53:10,0.01,29.733463,-95.418678,Houston,Harris,71.6,43.0,10.0,6.9,0.0,Clear
A-267758,2,2017-01-02 17:15:55,2017-01-02 17:45:38,0.0,29.635534000000003,-95.22773,Houston,Harris,73.0,44.0,10.0,8.1,0.0,Partly Cloudy
A-267760,2,2017-01-02 17:32:23,2017-01-02 18:02:10,0.01,29.750437,-95.501122,Houston,Harris,69.8,46.0,10.0,5.8,0.0,Clear
A-267761,2,2017-01-02 17:32:42,2017-01-02 18:02:34,0.0,29.716429,-95.484802,Houston,Harris,69.8,46.0,10.0,5.8,0.0,Clear
A-267762,2,2017-01-02 17:31:32,2017-01-02 18:01:22,0.0,29.785591,-95.310463,Houston,Harris,69.8,46.0,10.0,5.8,0.0,Clear
A-267767,2,2017-01-02 17:38:52,2017-01-02 18:08:35,0.01,29.689781,-95.502907,Houston,Harris,69.8,46.0,10.0,5.8,0.0,Clear
A-267770,2,2017-01-02 17:47:02,2017-01-02 18:16:47,0.0,29.77792,-95.620461,Houston,Harris,66.0,60.0,10.0,3.5,0.0,Clear
A-267771,2,2017-01-02 17:53:12,2017-01-02 18:23:00,0.01,29.77803,-95.618179,Houston,Harris,66.0,60.0,10.0,3.5,0.0,Clear
A-267773,2,2017-01-02 18:03:33,2017-01-02 18:33:10,0.01,29.740675,-95.464211,Houston,Harris,69.8,46.0,10.0,4.6,0.0,Clear
A-267774,2,2017-01-02 18:12:10,2017-01-02 18:41:19,0.01,29.697527,-95.289299,Houston,Harris,66.9,59.0,10.0,5.8,0.0,Partly Cloudy
A-267778,2,2017-01-02 18:21:25,2017-01-02 18:51:14,0.01,29.703861,-95.575386,Houston,Harris,66.0,60.0,10.0,3.5,0.0,Clear
A-267779,2,2017-01-02 18:23:07,2017-01-02 18:52:54,0.01,29.961014,-95.547508,Houston,Harris,64.9,63.0,10.0,0.0,0.0,Clear
A-267780,2,2017-01-02 18:22:37,2017-01-02 18:52:15,0.01,29.71903,-95.41848,Houston,Harris,69.8,46.0,10.0,4.6,0.0,Clear
A-267781,2,2017-01-02 18:21:54,2017-01-02 18:51:35,0.01,29.693436,-95.322586,Houston,Harris,66.9,59.0,10.0,5.8,0.0,Partly Cloudy
A-267782,2,2017-01-02 18:20:40,2017-01-02 18:50:30,0.01,29.770367,-95.292412,Houston,Harris,69.8,46.0,10.0,4.6,0.0,Clear
A-267783,2,2017-01-02 18:23:43,2017-01-02 18:53:24,0.01,29.735403,-95.461761,Houston,Harris,69.8,46.0,10.0,4.6,0.0,Clear
A-267786,2,2017-01-02 18:33:53,2017-01-02 19:03:40,0.0,29.716429,-95.484802,Houston,Harris,69.8,46.0,10.0,5.8,0.0,Clear
A-267787,2,2017-01-02 18:46:38,2017-01-02 19:16:29,0.0,29.746954,-95.376678,Houston,Harris,68.0,49.0,10.0,5.8,0.0,Clear
A-267788,2,2017-01-02 18:48:09,2017-01-02 19:17:59,0.0,29.87299,-95.368874,Houston,Harris,59.0,81.0,10.0,3.5,0.0,Partly Cloudy
A-267789,2,2017-01-02 18:57:15,2017-01-02 19:27:00,0.01,29.818487,-95.545227,Houston,Harris,68.0,49.0,10.0,5.8,0.0,Clear
A-267790,2,2017-01-02 18:56:12,2017-01-02 19:25:59,0.01,29.675964,-95.542091,Houston,Harris,68.0,49.0,10.0,5.8,0.0,Clear
A-267791,2,2017-01-02 18:55:48,2017-01-02 19:25:28,0.01,29.857929,-95.473351,Houston,Harris,68.0,49.0,10.0,5.8,0.0,Clear
A-267794,2,2017-01-02 19:03:51,2017-01-02 19:33:34,0.01,29.761463,-95.576103,Houston,Harris,68.0,49.0,10.0,5.8,0.0,Clear
A-267797,2,2017-01-02 19:14:09,2017-01-02 19:43:50,0.0,29.859682,-95.391113,Houston,Harris,59.0,81.0,10.0,3.5,0.0,Partly Cloudy
A-267798,2,2017-01-02 19:18:39,2017-01-02 19:48:26,0.01,29.693918,-95.351746,Houston,Harris,68.0,52.0,10.0,3.5,0.0,Clear
A-267799,2,2017-01-02 19:18:58,2017-01-02 19:48:48,0.01,29.673273,-95.289314,Houston,Harris,63.0,67.0,10.0,4.6,0.0,Partly Cloudy
A-267805,3,2017-01-02 20:11:44,2017-01-02 20:41:09,0.01,29.732946,-95.373978,Houston,Harris,68.0,49.0,10.0,6.9,0.0,Clear
A-267809,2,2017-01-02 20:34:45,2017-01-02 21:04:21,0.01,29.793015000000004,-95.688393,Houston,Harris,59.0,72.0,10.0,3.5,0.0,Mostly Cloudy
A-267810,2,2017-01-02 20:36:08,2017-01-02 21:05:58,0.01,29.877939,-95.494537,Houston,Harris,57.0,89.0,10.0,4.6,0.0,Partly Cloudy
A-267811,2,2017-01-02 20:36:26,2017-01-02 21:06:19,0.0,29.755184000000003,-95.376015,Houston,Harris,68.0,49.0,10.0,3.5,0.0,Clear
A-267812,2,2017-01-02 20:48:33,2017-01-02 21:18:22,0.0,29.644325,-95.503181,Houston,Harris,66.2,52.0,10.0,9.2,0.0,Clear
A-267814,2,2017-01-02 20:54:49,2017-01-02 21:33:15,0.01,29.705603000000004,-95.478394,Houston,Harris,66.2,52.0,10.0,9.2,0.0,Clear
A-267815,2,2017-01-02 20:55:31,2017-01-02 21:33:17,0.32,29.774286,-95.398659,Houston,Harris,66.2,52.0,10.0,9.2,0.0,Clear
A-267816,2,2017-01-02 20:52:32,2017-01-02 21:33:08,0.01,29.700703000000004,-95.377075,Houston,Harris,66.2,52.0,10.0,9.2,0.0,Clear
